Wavelength [nm];5 um;10 um;12.5 um;25 um;50 um
183.000;0.18043;0.13885;0.19862;0.28454;0.17445
183.500;-0.022659;0.057162;-0.060291;0.11879;0.047841
184.000;-0.066515;-0.058224;-0.15445;-0.033935;-0.097908
184.500;0.081035;-0.098194;-0.020136;-0.037739;-0.13242
185.000;0.069758;-0.061984;0.11849;0.08672;-0.074361
185.500;0.03011;0.053892;0.1785;0.24691;0.036155
186.000;0.17573;0.2251;0.15872;0.20102;0.11323
186.500;0.30026;0.26474;0.13689;0.11613;0.14261
187.000;0.20587;0.12014;0.1397;0.095146;0.16206
187.500;0.085529;0.014691;0.14379;0.22204;0.18282
188.000;-0.021318;-0.039189;0.097941;0.37754;0.18575
188.500;-0.25544;-0.21691;-0.060064;0.070038;0.13894
189.000;-0.38105;-0.38316;-0.16605;-0.21563;0.065199
189.500;0.010683;-0.21552;0.074826;0.0074518;0.1136
190.000;0.20941;-0.016754;0.16476;0.20749;0.20657
190.500;-0.059039;0.11283;0.022422;0.1304;0.30901
191.000;-0.15389;0.096491;-0.061926;0.001707;0.25169
191.500;-0.12011;-0.021194;-0.050099;-0.083773;0.071552
192.000;-0.1559;-0.079546;0.00053838;-0.10486;-0.031386
192.500;-0.16886;-0.084265;0.0733;-0.037063;-0.011438
193.000;-0.1171;-0.060277;0.13797;0.085558;0.1117
193.500;-0.094185;-0.0040273;0.091205;0.053385;0.23552
194.000;-0.10645;0.068591;0.00046916;-0.034549;0.2958
194.500;-0.083491;0.094986;-0.0036736;0.070532;0.32292
195.000;-0.043425;0.081629;0.041749;0.23123;0.30858
195.500;-0.0036918;0.068784;0.090388;0.17001;0.28995
196.000;0.088165;0.081692;0.15744;0.12196;0.46082
196.500;0.17687;0.092115;0.18302;0.16466;0.70466
197.000;0.13905;0.041498;0.079715;0.20532;0.34418
197.500;0.0044487;-0.025581;-0.067632;0.23163;-0.0013749
198.000;-0.0045561;0.054746;-0.0066152;0.2155;0.14911
198.500;0.013045;0.11511;0.056625;0.18317;0.35534
199.000;0.0012313;0.077321;0.027773;0.14734;0.27931
199.500;0.055554;-0.020092;0.023859;0.13196;0.18012
