Wavelength [nm]	Wavenumbers [1/cm]	Cu_10uM	Cu_12,5uM	Cu_25uM	Cu_50uM	Cu_5uM
183.000	54644.81	0.1886	0.2053	0.299	0.1986	0.2244
183.500	54495.91	0.1069	-0.05362	0.1333	0.07198	0.02128
184.000	54347.83	-0.0085	-0.1478	-0.01947	-0.07377	-0.02258
184.500	54200.54	-0.04847	-0.01347	-0.02328	-0.1083	0.125
185.000	54054.05	-0.01226	0.1252	0.1012	-0.05022	0.1137
185.500	53908.36	0.1036	0.1852	0.2614	0.0603	0.07405
186.000	53763.44	0.2748	0.1654	0.2155	0.1374	0.2197
186.500	53619.30	0.3145	0.1436	0.1306	0.1668	0.3442
187.000	53475.94	0.1699	0.1464	0.1096	0.1862	0.2498
187.500	53333.33	0.06441	0.1505	0.2365	0.207	0.1295
188.000	53191.49	0.01053	0.1046	0.392	0.2099	0.02262
188.500	53050.40	-0.1672	-0.05339	0.0845	0.1631	-0.2115
189.000	52910.05	-0.3334	-0.1594	-0.2012	0.08934	-0.3371
189.500	52770.45	-0.1658	0.0815	0.02191	0.1377	0.05462
190.000	52631.58	0.03297	0.1714	0.222	0.2307	0.2533
190.500	52493.44	0.1626	0.02909	0.1449	0.3332	-0.0151
191.000	52356.02	0.1462	-0.05526	0.01617	0.2758	-0.11
191.500	52219.32	0.02853	-0.04343	-0.06931	0.09569	-0.07617
192.000	52083.33	-0.02982	0.007208	-0.0904	-0.007245	-0.112
192.500	51948.05	-0.03454	0.07997	-0.0226	0.0127	-0.1249
193.000	51813.47	-0.01055	0.1446	0.1	0.1358	-0.07316
193.500	51679.59	0.0457	0.09787	0.06785	0.2597	-0.05025
194.000	51546.39	0.1183	0.007139	-0.02009	0.3199	-0.06252
194.500	51413.88	0.1447	0.002996	0.08499	0.3471	-0.03956
195.000	51282.05	0.1314	0.04842	0.2457	0.3327	0.0005108
195.500	51150.90	0.1185	0.09706	0.1845	0.3141	0.04024
196.000	51020.41	0.1314	0.1641	0.1364	0.485	0.1321
196.500	50890.59	0.1418	0.1897	0.1791	0.7288	0.2208
197.000	50761.42	0.09122	0.08638	0.2198	0.3683	0.183
197.500	50632.91	0.02414	-0.06096	0.2461	0.02277	0.04838
198.000	50505.05	0.1045	5.423E-5	0.23	0.1733	0.03938
198.500	50377.83	0.1648	0.06329	0.1976	0.3795	0.05698
199.000	50251.26	0.127	0.03444	0.1618	0.3034	0.04517
199.500	50125.31	0.02963	0.03053	0.1464	0.2043	0.09949
200.000	50000.00	-0.02085	0.07215	0.1185	0.1177	0.1641
200.500	49875.31	0.09915	0.05494	0.0201	-0.02611	0.00158
201.000	49751.24	0.2132	0.003486	-0.0115	-0.05225	-0.09861
201.500	49627.79	0.09404	-0.007897	0.07668	0.09159	-0.02189
202.000	49504.95	0.03366	0.06822	0.1467	0.1637	0.1094
202.500	49382.72	0.03011	0.1745	0.1315	0.08719	0.1361
203.000	49261.08	-0.06639	0.1055	0.07888	0.03283	-0.05535
203.500	49140.05	-0.1503	-0.05007	-0.003753	-0.0244	-0.2208
204.000	49019.61	-0.01276	-0.02362	-0.01761	-0.05903	-0.08535
204.500	48899.76	0.07462	-0.032	0.06529	0.03478	0.005884
205.000	48780.49	0.01247	-0.1308	0.2677	0.3054	-0.08456
205.500	48661.80	-0.0925	-0.1836	0.3273	0.1871	-0.1929
206.000	48543.69	-0.1141	-0.1083	0.1028	-0.1097	-0.1937
206.500	48426.15	0.01342	0.03271	0.03717	-0.01407	-0.0607
207.000	48309.18	0.1356	0.04635	0.04456	0.1297	0.003042
207.500	48192.77	0.1475	-0.05665	0.06129	0.08763	-0.05779
208.000	48076.92	0.04944	-0.00188	0.1402	0.1685	0.03105
208.500	47961.63	-0.01053	0.2141	0.183	0.3443	0.2357
209.000	47846.89	0.00301	0.3333	0.08246	0.219	0.1844
209.500	47732.70	0.03248	0.2169	-0.04944	0.03023	0.02539
210.000	47619.05	0.02007	0.005191	-0.08329	0.009954	-0.02715
210.500	47505.94	0.09561	0.1185	0.08611	0.2295	0.01827
211.000	47393.36	0.2126	0.5255	0.2903	0.3966	0.06183
211.500	47281.32	0.2231	0.5125	0.2247	0.1299	0.06461
212.000	47169.81	0.1132	0.157	0.04506	-0.1034	0.04873
212.500	47058.82	0.01245	0.08547	0.07267	0.1087	0.05507
213.000	46948.36	-0.03299	0.1714	0.08201	0.3244	0.02732
213.500	46838.41	-0.06377	0.2858	-0.06839	0.01804	-0.05321
214.000	46728.97	0.002191	0.1319	-0.09189	0.002145	-0.03334
214.500	46620.05	0.1017	0.005711	0.02584	0.3526	0.0643
215.000	46511.63	0.1197	0.05816	0.09106	0.6288	0.09543
215.500	46403.71	0.07563	0.1271	0.1915	0.4171	0.1393
216.000	46296.30	0.02316	0.05468	0.5098	0.09039	0.2772
216.500	46189.38	0.1031	0.04185	0.5133	0.0606	0.2192
217.000	46082.95	0.266	0.1439	0.1454	0.3471	0.02638
217.500	45977.01	0.0685	0.133	0.04785	0.4396	0.02285
218.000	45871.56	-0.08698	0.06315	0.08139	0.2586	0.1352
218.500	45766.59	0.03009	0.08375	0.1234	0.2119	0.1721
219.000	45662.10	0.2053	0.1483	0.1673	0.1995	0.1364
219.500	45558.09	0.2389	0.1834	0.2087	0.1931	0.08241
220.000	45454.55	0.191	0.07067	0.166	0.3252	0.03159
220.500	45351.47	0.1371	-0.02477	0.1137	0.6025	0.0121
221.000	45248.87	0.1128	0.1276	0.2107	0.4237	0.04625
221.500	45146.73	0.02996	0.2543	0.2816	0.2183	0.04303
222.000	45045.05	-0.1233	0.03963	0.1455	0.1565	-0.05068
222.500	44943.82	-0.06002	0.01311	0.05633	0.3633	-0.07979
223.000	44843.05	0.1964	0.1892	0.09158	0.655	-0.0362
223.500	44742.73	0.192	0.1113	0.09458	0.3699	-0.07215
224.000	44642.86	0.02384	-0.04572	0.09745	0.09861	-0.1045
224.500	44543.43	0.01641	0.02136	0.1818	0.1589	0.01804
225.000	44444.44	0.1053	0.1831	0.268	0.2962	0.1344
225.500	44345.90	0.1673	0.2597	0.268	0.3013	0.1337
226.000	44247.79	0.08874	0.1641	0.147	0.2284	0.1171
226.500	44150.11	-0.02808	0.05892	0.04836	0.176	0.1077
227.000	44052.86	-0.02689	0.1328	0.1415	0.2366	0.09531
227.500	43956.04	0.09066	0.3135	0.4513	0.3012	0.1265
228.000	43859.65	0.2221	0.3598	0.6915	0.2708	0.1748
228.500	43763.68	0.182	0.2103	0.2606	0.2669	0.09812
229.000	43668.12	0.03951	0.05432	-0.03633	0.3107	-0.003609
229.500	43572.98	0.06081	0.1394	0.2093	0.3126	0.1274
230.000	43478.26	0.1346	0.2448	0.6845	0.3108	0.2237
230.500	43383.95	0.1494	0.1606	0.3209	0.3644	0.04021
231.000	43290.04	0.1026	0.05148	0.02621	0.4439	-0.1227
231.500	43196.54	0.08275	0.09139	0.06069	0.438	-0.0717
232.000	43103.45	0.155	0.2232	0.1919	0.4007	0.09581
232.500	43010.75	0.1866	0.2904	0.2535	0.322	0.1924
233.000	42918.45	0.06915	0.1627	0.1769	0.1862	0.06488
233.500	42826.55	0.008581	0.01914	0.1805	0.1675	0.008278
234.000	42735.04	0.106	0.005725	0.3856	0.3776	0.1524
234.500	42643.92	0.0748	0.05791	0.3187	0.4547	0.06065
235.000	42553.19	-0.01189	0.1163	0.1321	0.3123	-0.1022
235.500	42462.85	0.0715	0.1225	0.1512	0.239	-0.04341
236.000	42372.88	0.2185	0.1105	0.2604	0.2584	0.1688
236.500	42283.30	0.2228	0.1124	0.3024	0.3351	0.3259
237.000	42194.09	0.1554	0.09589	0.2944	0.3993	0.2058
237.500	42105.26	0.1191	0.09817	0.317	0.4491	0.03018
238.000	42016.81	0.1876	0.2042	0.4535	0.5347	0.0493
238.500	41928.72	0.1959	0.2251	0.4405	0.5805	0.09781
239.000	41841.00	0.008727	0.01307	0.1445	0.5093	-0.008554
239.500	41753.65	-0.07052	-0.04626	0.08061	0.4206	-0.02692
240.000	41666.67	0.08022	0.1802	0.3934	0.4161	0.1458
240.500	41580.04	0.205	0.316	0.5907	0.3992	0.1905
241.000	41493.78	0.2065	0.2543	0.4482	0.3576	0.112
241.500	41407.87	0.08861	0.1431	0.2701	0.3252	0.05538
242.000	41322.31	0.0493	0.1366	0.2651	0.4012	0.07917
242.500	41237.11	0.1417	0.222	0.4261	0.5319	0.126
243.000	41152.26	0.1819	0.171	0.4536	0.467	0.05406
243.500	41067.76	0.1567	0.05793	0.3082	0.3001	-0.06058
244.000	40983.61	0.1647	0.1668	0.2304	0.3316	0.01913
244.500	40899.80	0.1619	0.313	0.227	0.47	0.1395
245.000	40816.33	0.1304	0.2409	0.2326	0.5383	0.1093
245.500	40733.20	0.2051	0.1276	0.2971	0.4206	0.04619
246.000	40650.41	0.3661	0.1031	0.3961	0.2907	0.02514
246.500	40567.95	0.3377	0.1866	0.4141	0.2877	0.02634
247.000	40485.83	0.178	0.2745	0.3425	0.3643	0.01529
247.500	40404.04	0.06455	0.1811	0.2488	0.4401	-0.01887
248.000	40322.58	0.1222	0.1388	0.2617	0.42	0.03548
248.500	40241.45	0.292	0.2129	0.3523	0.3871	0.1423
249.000	40160.64	0.2749	0.2433	0.3442	0.5256	0.1002
249.500	40080.16	0.1223	0.2275	0.271	0.9881	-0.03365
250.000	40000.00	0.08628	0.2433	0.2831	0.9135	-0.06814
250.500	39920.16	0.1452	0.2672	0.3337	0.6909	-0.01349
251.000	39840.64	0.2011	0.2782	0.3551	0.7029	0.04
251.500	39761.43	0.2025	0.3015	0.3674	0.7278	0.0291
252.000	39682.54	0.1742	0.3155	0.3856	0.7696	-0.01194
252.500	39603.96	0.1577	0.2935	0.4121	0.9021	-0.03208
253.000	39525.69	0.166	0.2837	0.4424	1.061	-0.02526
253.500	39447.73	0.1908	0.3027	0.4684	1.143	-0.006204
254.000	39370.08	0.2072	0.3259	0.4783	1.156	-0.002019
254.500	39292.73	0.2096	0.3328	0.477	1.15	-0.008625
255.000	39215.69	0.2044	0.3135	0.4767	1.163	-0.008658
255.500	39138.94	0.2022	0.2992	0.4797	1.176	-0.004703
256.000	39062.50	0.2077	0.31	0.4846	1.172	-0.002583
256.500	38986.35	0.2096	0.3203	0.4884	1.171	-0.001146
257.000	38910.51	0.2051	0.3191	0.4914	1.182	0.0003898
257.500	38834.95	0.2019	0.3182	0.4967	1.192	0.001252
258.000	38759.69	0.2025	0.3184	0.4999	1.196	0.002545
258.500	38684.72	0.2059	0.3162	0.4961	1.195	0.005763
259.000	38610.04	0.208	0.3152	0.4971	1.193	0.009796
259.500	38535.65	0.2064	0.3169	0.5076	1.196	0.01334
260.000	38461.54	0.2029	0.3168	0.5152	1.212	0.01601
260.500	38387.72	0.1999	0.314	0.5157	1.221	0.01808
261.000	38314.18	0.1989	0.3106	0.5125	1.189	0.02008
261.500	38240.92	0.1978	0.3076	0.5092	1.162	0.02133
262.000	38167.94	0.1953	0.3053	0.508	1.171	0.02177
262.500	38095.24	0.1944	0.3034	0.5105	1.179	0.0237
263.000	38022.81	0.1947	0.3024	0.5138	1.169	0.02718
263.500	37950.66	0.1924	0.3026	0.5119	1.16	0.02985
264.000	37878.79	0.1893	0.3028	0.5089	1.156	0.03199
264.500	37807.18	0.1886	0.3014	0.5102	1.158	0.03463
265.000	37735.85	0.1879	0.3	0.5104	1.168	0.03689
265.500	37664.78	0.1864	0.2994	0.507	1.176	0.03851
266.000	37593.98	0.1865	0.2987	0.5049	1.16	0.04055
266.500	37523.45	0.1874	0.2978	0.5055	1.137	0.04302
267.000	37453.18	0.1866	0.2969	0.5077	1.133	0.04528
267.500	37383.18	0.185	0.2958	0.5093	1.135	0.04702
268.000	37313.43	0.1837	0.2944	0.5088	1.128	0.04816
268.500	37243.95	0.1834	0.2923	0.5067	1.119	0.04896
269.000	37174.72	0.1834	0.2903	0.5047	1.113	0.04985
269.500	37105.75	0.182	0.2894	0.5047	1.112	0.05126
270.000	37037.04	0.1802	0.2886	0.5054	1.112	0.05288
270.500	36968.58	0.1793	0.287	0.5047	1.113	0.05417
271.000	36900.37	0.1785	0.2855	0.5033	1.109	0.05487
271.500	36832.41	0.1774	0.2845	0.5018	1.101	0.05515
272.000	36764.71	0.1763	0.2834	0.4999	1.092	0.05571
272.500	36697.25	0.1754	0.282	0.4983	1.085	0.05686
273.000	36630.04	0.1749	0.2802	0.4972	1.08	0.05846
273.500	36563.07	0.1739	0.2785	0.4945	1.071	0.05951
274.000	36496.35	0.172	0.2766	0.4899	1.059	0.0596
274.500	36429.87	0.1701	0.2743	0.4873	1.053	0.05971
275.000	36363.64	0.1688	0.2717	0.4857	1.049	0.06032
275.500	36297.64	0.168	0.2697	0.4818	1.04	0.06135
276.000	36231.88	0.1672	0.2679	0.4772	1.028	0.06227
276.500	36166.37	0.1662	0.2655	0.474	1.016	0.06264
277.000	36101.08	0.165	0.2629	0.4696	1.004	0.06261
277.500	36036.04	0.1638	0.2601	0.465	0.9942	0.06264
278.000	35971.22	0.1629	0.257	0.4637	0.9897	0.06326
278.500	35906.64	0.1622	0.2549	0.4631	0.9862	0.06382
279.000	35842.29	0.1613	0.2548	0.4596	0.9789	0.06365
279.500	35778.18	0.1602	0.2539	0.4562	0.9722	0.06382
280.000	35714.29	0.1591	0.2513	0.4548	0.9688	0.06452
280.500	35650.62	0.1585	0.2497	0.4538	0.9667	0.0644
281.000	35587.19	0.158	0.2493	0.4526	0.9642	0.06426
281.500	35523.98	0.1571	0.2489	0.4512	0.9606	0.06567
282.000	35460.99	0.157	0.2486	0.4498	0.9559	0.06697
282.500	35398.23	0.1579	0.2479	0.4485	0.9502	0.06696
283.000	35335.69	0.1574	0.2462	0.4476	0.943	0.06675
283.500	35273.37	0.1558	0.2445	0.4468	0.9382	0.06682
284.000	35211.27	0.1558	0.2447	0.4462	0.9409	0.06689
284.500	35149.38	0.156	0.2448	0.4455	0.9424	0.06685
285.000	35087.72	0.1548	0.2432	0.4447	0.9357	0.06676
285.500	35026.27	0.154	0.2422	0.4437	0.9305	0.06707
286.000	34965.03	0.1541	0.2422	0.4429	0.9292	0.06775
286.500	34904.01	0.1537	0.2416	0.4427	0.9254	0.06834
287.000	34843.21	0.153	0.241	0.4427	0.9217	0.06884
287.500	34782.61	0.1527	0.2411	0.4423	0.9219	0.06928
288.000	34722.22	0.1526	0.2402	0.4413	0.9212	0.06925
288.500	34662.05	0.1521	0.2381	0.4395	0.918	0.06869
289.000	34602.08	0.1512	0.2365	0.4367	0.916	0.06814
289.500	34542.31	0.1503	0.2359	0.4345	0.9121	0.06819
290.000	34482.76	0.1502	0.2355	0.4345	0.9026	0.06918
290.500	34423.41	0.1502	0.2348	0.4344	0.8945	0.07029
291.000	34364.26	0.1496	0.2339	0.4325	0.8925	0.07058
291.500	34305.32	0.1484	0.233	0.4297	0.893	0.06943
292.000	34246.58	0.1471	0.2321	0.4277	0.8916	0.06828
292.500	34188.03	0.1468	0.2309	0.4279	0.8851	0.06926
293.000	34129.69	0.1468	0.2297	0.4273	0.8808	0.07056
293.500	34071.55	0.1466	0.2292	0.4242	0.8828	0.07048
294.000	34013.61	0.1461	0.2292	0.4226	0.8829	0.07014
294.500	33955.86	0.1457	0.229	0.4229	0.8774	0.07007
295.000	33898.31	0.1455	0.2277	0.4224	0.8692	0.06996
295.500	33840.95	0.1454	0.2264	0.4214	0.8638	0.06992
296.000	33783.78	0.1452	0.2262	0.4209	0.8648	0.07004
296.500	33726.81	0.145	0.2264	0.4207	0.867	0.07
297.000	33670.03	0.1447	0.2263	0.4206	0.8674	0.06984
297.500	33613.45	0.1441	0.2264	0.4199	0.8672	0.07007
298.000	33557.05	0.1438	0.2265	0.4199	0.8669	0.07056
298.500	33500.84	0.1439	0.2265	0.4215	0.8668	0.0709
299.000	33444.82	0.1439	0.2268	0.4237	0.8698	0.0709
299.500	33388.98	0.1437	0.2275	0.4254	0.8755	0.07084
300.000	33333.33	0.1443	0.2282	0.4271	0.8788	0.07158
300.500	33277.87	0.1453	0.2288	0.4292	0.8803	0.07248
301.000	33222.59	0.1456	0.2296	0.4322	0.8841	0.07235
301.500	33167.50	0.1458	0.2311	0.4355	0.8907	0.07212
302.000	33112.58	0.1465	0.2332	0.439	0.8987	0.07268
302.500	33057.85	0.1475	0.2351	0.4426	0.9056	0.07359
303.000	33003.30	0.1484	0.2368	0.4465	0.9117	0.07437
303.500	32948.93	0.1487	0.2387	0.4507	0.9198	0.07474
304.000	32894.74	0.1491	0.241	0.4552	0.9293	0.075
304.500	32840.72	0.1502	0.2434	0.4598	0.9387	0.07553
305.000	32786.89	0.1512	0.246	0.4647	0.9489	0.07625
305.500	32733.22	0.1522	0.2487	0.4701	0.9602	0.077
306.000	32679.74	0.1538	0.2519	0.4763	0.9724	0.07759
306.500	32626.43	0.1553	0.2554	0.4833	0.9851	0.07813
307.000	32573.29	0.1558	0.259	0.4908	0.9978	0.07884
307.500	32520.33	0.1567	0.262	0.4975	1.011	0.07989
308.000	32467.53	0.1586	0.2648	0.5037	1.024	0.08109
308.500	32414.91	0.16	0.2685	0.5111	1.039	0.08185
309.000	32362.46	0.161	0.2726	0.5194	1.055	0.08217
309.500	32310.18	0.1622	0.2758	0.5267	1.072	0.08254
310.000	32258.06	0.1639	0.2794	0.5346	1.087	0.08349
310.500	32206.12	0.1659	0.2844	0.5441	1.101	0.08507
311.000	32154.34	0.1681	0.2895	0.5535	1.118	0.08647
311.500	32102.73	0.1701	0.2941	0.5621	1.137	0.08727
312.000	32051.28	0.1715	0.2977	0.571	1.155	0.08762
312.500	32000.00	0.1727	0.3015	0.5797	1.172	0.08841
313.000	31948.88	0.1745	0.3065	0.5881	1.19	0.09013
313.500	31897.93	0.1768	0.3119	0.5982	1.209	0.09164
314.000	31847.13	0.1791	0.3171	0.6094	1.228	0.09249
314.500	31796.50	0.1809	0.3217	0.6188	1.248	0.09319
315.000	31746.03	0.1826	0.3264	0.628	1.269	0.0942
315.500	31695.72	0.1849	0.3319	0.6394	1.29	0.09565
316.000	31645.57	0.1871	0.3372	0.6504	1.307	0.097
316.500	31595.58	0.1889	0.342	0.66	1.322	0.09791
317.000	31545.74	0.1915	0.3469	0.6708	1.341	0.09862
317.500	31496.06	0.1939	0.3517	0.6826	1.366	0.09957
