Wavelength [nm];6.25 um;12.5 um;25 um;50 um
183.000;0.092671;0.1463;-0.097205;0.031633
183.500;0.045693;0.10932;0.12997;0.17504
184.000;0.090416;0.1391;0.20162;0.21957
184.500;0.18596;0.18128;0.11762;0.18147
185.000;0.15514;0.076406;-0.0092586;0.11209
185.500;0.032756;0.01158;-0.0018892;0.14481
186.000;0.083609;0.29229;0.32995;0.39772
186.500;0.15364;0.33922;0.46471;0.52985
187.000;0.18887;0.0098911;0.17484;0.42579
187.500;0.044774;-0.11724;-0.059816;0.18915
188.000;-0.084859;0.1967;0.036427;0.14984
188.500;-0.00072854;0.37014;0.33741;0.33747
189.000;0.15186;0.27636;0.52228;0.37732
189.500;0.22291;0.19857;0.2497;0.094184
190.000;0.10385;0.079217;0.024627;-0.031351
190.500;-0.10619;-0.028786;-0.027376;0.13716
191.000;-0.10084;0.095684;0.12059;0.34581
191.500;0.063284;0.23083;0.28978;0.33605
192.000;0.32588;0.15872;0.35338;0.35649
192.500;0.442;0.099278;0.26781;0.37648
193.000;0.16537;0.15002;0.0912;0.35446
193.500;0.073786;0.21212;0.032861;0.33598
194.000;0.17014;0.18659;0.085193;0.31722
194.500;0.22032;0.12716;0.11243;0.25171
195.000;0.17291;0.096367;0.12528;0.1686
195.500;0.068193;0.14496;0.17138;0.10711
196.000;0.062857;0.21927;0.2232;0.15022
196.500;0.1404;0.22334;0.19364;0.21956
197.000;0.11463;0.20007;0.074405;0.11807
197.500;0.034871;0.10156;-0.047092;-0.026089
198.000;0.071545;-0.044274;-0.0014702;0.014829
198.500;0.18056;-0.061488;0.21547;0.15375
199.000;0.21713;0.014334;0.50824;0.21998
199.500;0.067791;0.005513;0.37599;0.14763
200.000;-0.050957;-0.023166;0.13043;0.067866
200.500;0.086553;0.14435;0.17939;0.14432
201.000;0.2302;0.28175;0.28445;0.18451
201.500;0.062349;0.053477;0.19087;0.024299
202.000;0.012899;-0.16793;0.089144;-0.060978
202.500;0.17429;-0.1837;0.095665;-0.019279
203.000;0.091865;-0.11602;0.053804;-0.11982
203.500;-0.036128;0.01368;0.0205;-0.19787
204.000;0.10775;0.048616;0.11473;-0.011424
204.500;0.14611;0.047061;0.16733;0.12919
205.000;-0.0068925;0.052929;0.1114;0.08604
205.500;-0.090981;-0.028546;-0.01833;0.13452
206.000;-0.094953;-0.13215;-0.13299;0.23783
