Wavelength [nm]	Wavenumbers [1/cm]	RB_12.5uM	RB_25uM	Rb_50uM	RB_6.25uM
183.000	54644.81	0.1438	-0.09951	0.02943	0.08911
183.500	54495.91	0.1068	0.1277	0.1728	0.04213
184.000	54347.83	0.1366	0.1993	0.2174	0.08686
184.500	54200.54	0.1788	0.1153	0.1793	0.1824
185.000	54054.05	0.07391	-0.01156	0.1099	0.1516
185.500	53908.36	0.009086	-0.004193	0.1426	0.0292
186.000	53763.44	0.2898	0.3276	0.3955	0.08005
186.500	53619.30	0.3367	0.4624	0.5276	0.1501
187.000	53475.94	0.007397	0.1725	0.4236	0.1853
187.500	53333.33	-0.1197	-0.06212	0.1869	0.04122
188.000	53191.49	0.1942	0.03412	0.1476	-0.08842
188.500	53050.40	0.3676	0.3351	0.3353	-0.004287
189.000	52910.05	0.2739	0.52	0.3751	0.1483
189.500	52770.45	0.1961	0.2474	0.09198	0.2194
190.000	52631.58	0.07672	0.02232	-0.03355	0.1003
190.500	52493.44	-0.03128	-0.02968	0.135	-0.1097
191.000	52356.02	0.09319	0.1183	0.3436	-0.1044
191.500	52219.32	0.2283	0.2875	0.3338	0.05973
192.000	52083.33	0.1562	0.3511	0.3543	0.3223
192.500	51948.05	0.09678	0.2655	0.3743	0.4384
193.000	51813.47	0.1475	0.0889	0.3523	0.1618
193.500	51679.59	0.2096	0.03056	0.3338	0.07023
194.000	51546.39	0.1841	0.08289	0.315	0.1666
194.500	51413.88	0.1247	0.1101	0.2495	0.2168
195.000	51282.05	0.09387	0.123	0.1664	0.1693
195.500	51150.90	0.1425	0.1691	0.1049	0.06463
196.000	51020.41	0.2168	0.2209	0.148	0.0593
196.500	50890.59	0.2209	0.1913	0.2174	0.1368
197.000	50761.42	0.1976	0.0721	0.1159	0.1111
197.500	50632.91	0.09907	-0.0494	-0.02829	0.03131
198.000	50505.05	-0.04677	-0.003774	0.01263	0.06799
198.500	50377.83	-0.06398	0.2132	0.1515	0.177
199.000	50251.26	0.01184	0.5059	0.2178	0.2136
199.500	50125.31	0.003019	0.3737	0.1454	0.06423
200.000	50000.00	-0.02566	0.1281	0.06566	-0.05452
200.500	49875.31	0.1419	0.1771	0.1421	0.08299
201.000	49751.24	0.2793	0.2821	0.1823	0.2266
201.500	49627.79	0.05098	0.1886	0.0221	0.05879
202.000	49504.95	-0.1704	0.08684	-0.06318	0.00934
202.500	49382.72	-0.1862	0.09336	-0.02148	0.1707
203.000	49261.08	-0.1185	0.0515	-0.122	0.08831
203.500	49140.05	0.01119	0.0182	-0.2001	-0.03969
204.000	49019.61	0.04612	0.1124	-0.01363	0.1042
204.500	48899.76	0.04457	0.165	0.127	0.1425
205.000	48780.49	0.05044	0.1091	0.08384	-0.01045
205.500	48661.80	-0.03104	-0.02063	0.1323	-0.09454
206.000	48543.69	-0.1346	-0.1353	0.2356	-0.09851
206.500	48426.15	-0.09581	-0.1084	0.007007	-0.1
207.000	48309.18	-0.06302	-0.001612	-0.0504	-0.07811
207.500	48192.77	-0.09993	0.1109	0.1623	-0.02929
208.000	48076.92	0.014	0.2074	0.3289	-0.04399
208.500	47961.63	0.2411	0.2934	0.2276	-0.07886
209.000	47846.89	0.1434	0.5006	0.1237	-0.02542
209.500	47732.70	-0.08949	0.7391	0.119	0.1381
210.000	47619.05	-0.06694	0.3703	0.2936	0.1784
210.500	47505.94	0.03079	0.2187	0.4294	0.2087
211.000	47393.36	0.1161	0.1984	0.4295	0.2913
211.500	47281.32	0.1886	0.254	0.3335	0.2781
212.000	47169.81	0.1784	0.2933	0.2111	0.1718
212.500	47058.82	0.01089	0.1578	0.1088	0.05484
213.000	46948.36	-0.07871	0.07245	0.1405	0.009481
213.500	46838.41	0.05615	0.1889	0.348	0.08296
214.000	46728.97	0.2275	0.2556	0.4078	0.1486
214.500	46620.05	0.2698	0.1768	0.2509	0.1326
215.000	46511.63	0.02889	-0.02404	0.002029	-0.03165
215.500	46403.71	-0.2545	-0.2036	-0.1549	-0.2488
216.000	46296.30	-0.2379	-0.1054	0.0771	-0.2429
216.500	46189.38	-0.04261	0.06431	0.3768	-0.07106
217.000	46082.95	0.1514	0.1434	0.3598	0.112
217.500	45977.01	0.1526	0.1681	0.204	0.1154
218.000	45871.56	-0.03141	0.09334	0.04973	-0.01174
218.500	45766.59	-0.2249	-0.09531	-0.00332	-0.1007
219.000	45662.10	-0.2093	-0.1029	0.1481	-0.09092
219.500	45558.09	0.01896	0.1156	0.4039	0.003439
220.000	45454.55	0.1756	0.2669	0.3741	0.1511
220.500	45351.47	0.1259	0.1938	0.2112	0.2247
221.000	45248.87	-0.1064	-0.08682	0.06598	-0.03722
221.500	45146.73	-0.1903	-0.2227	0.003805	-0.1957
222.000	45045.05	0.1757	0.07335	0.1092	0.1077
222.500	44943.82	0.2716	0.1948	0.08382	0.1544
223.000	44843.05	0.01338	0.05496	0.02648	-0.08128
223.500	44742.73	-0.06865	0.06974	0.3457	-0.1095
224.000	44642.86	-0.04349	0.1192	1.045	0.04808
224.500	44543.43	-0.08676	-0.01587	0.2939	0.2056
225.000	44444.44	-0.1121	-0.0645	0.0631	0.232
225.500	44345.90	-0.04743	0.05834	0.1389	0.136
226.000	44247.79	0.1309	0.2522	0.2671	0.08861
226.500	44150.11	0.2501	0.3106	0.285	0.07982
227.000	44052.86	0.08434	0.1543	0.2042	0.06182
227.500	43956.04	-0.002441	0.04245	0.1956	0.09234
228.000	43859.65	0.1135	0.07122	0.3439	0.1835
228.500	43763.68	0.1436	0.1605	0.4258	0.1396
229.000	43668.12	0.05738	0.2187	0.3589	0.05211
229.500	43572.98	0.08133	0.1735	0.3377	0.1173
230.000	43478.26	0.1142	0.1016	0.3468	0.1899
230.500	43383.95	0.04152	0.07225	0.3076	0.09152
231.000	43290.04	0.07081	0.1564	0.1759	0.1134
231.500	43196.54	0.1966	0.2833	0.109	0.2463
232.000	43103.45	0.1624	0.2958	0.1787	0.1229
232.500	43010.75	0.006799	0.1956	0.4197	-0.09207
